"prob_id","raw_deepseek_ocr","raw_deepseek_ocr2"
"2025_odd_common_1","<|ref|>text<|/ref|><|det|>[[53, 50, 520, 250]]<|/det|>
1. \(\sqrt[3]{5} \times 25^{\frac{1}{3}}\) 의 값은? [2점] 

<|ref|>text<|/ref|><|det|>[[88, 666, 170, 800]]<|/det|>
① 1
② 2
③ 3
④ 4
⑤ 5","<|ref|>text<|/ref|><|det|>[[49, 75, 511, 468]]<|/det|>
1.  \( \sqrt[3]{5} \times 25^{\frac{1}{3}} \)  의 값은? [2점]

<|ref|>text<|/ref|><|det|>[[85, 800, 160, 940]]<|/det|>
① 1

<|ref|>text<|/ref|><|det|>[[280, 800, 364, 940]]<|/det|>
② 2

<|ref|>text<|/ref|><|det|>[[475, 800, 559, 940]]<|/det|>
③ 3

<|ref|>text<|/ref|><|det|>[[675, 800, 759, 940]]<|/det|>
④ 4

<|ref|>text<|/ref|><|det|>[[870, 800, 954, 940]]<|/det|>
⑤ 5"
"2025_odd_common_2","<|ref|>text<|/ref|><|det|>[[50, 0, 960, 120]]<|/det|>
2. 함수 \(f(x) = x^3 - 8x + 7\)에 대하여 \(\lim_{h \to 0} \frac{f(2+h) - f(2)}{h}\)의 

<|ref|>text<|/ref|><|det|>[[85, 150, 262, 250]]<|/det|>
값은? [2점] 

<|ref|>text<|/ref|><|det|>[[85, 680, 160, 780]]<|/det|>
① 1 

<|ref|>text<|/ref|><|det|>[[280, 680, 348, 780]]<|/det|>
② 2 

<|ref|>text<|/ref|><|det|>[[457, 680, 528, 780]]<|/det|>
③ 3 

<|ref|>text<|/ref|><|det|>[[644, 680, 718, 780]]<|/det|>
④ 4 

<|ref|>text<|/ref|><|det|>[[825, 680, 900, 780]]<|/det|>
⑤ 5","<|ref|>text<|/ref|><|det|>[[45, 0, 959, 999]]<|/det|>
2. 함수  \( f(x) = x^{3} - 8x + 7 \)  에 대하여  \( \lim_{h \to 0} \frac{f(2 + h) - f(2)}{h} \)  의 값은? [2점]

① 1
② 2
③ 3
④ 4
⑤ 5"
"2025_odd_common_3","<|ref|>text<|/ref|><|det|>[[42, 55, 900, 166]]<|/det|>
3. 첫째항과 공비가 모두 양수 \(k\)인 등비수열 \(\{a_n\}\)이 

<|ref|>equation<|/ref|><|det|>[[179, 310, 420, 499]]<|/det|>
\[ \frac{a_4}{a_2} + \frac{a_2}{a_1} = 30 \]

<|ref|>text<|/ref|><|det|>[[84, 620, 615, 712]]<|/det|>
을 만족시킬 때, \(k\)의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[78, 825, 164, 911]]<|/det|>
① 1 

<|ref|>text<|/ref|><|det|>[[280, 825, 362, 911]]<|/det|>
② 2 

<|ref|>text<|/ref|><|det|>[[477, 825, 560, 911]]<|/det|>
③ 3 

<|ref|>text<|/ref|><|det|>[[675, 825, 760, 911]]<|/det|>
④ 4 

<|ref|>text<|/ref|><|det|>[[874, 825, 958, 911]]<|/det|>
⑤ 5","<|ref|>text<|/ref|><|det|>[[35, 55, 895, 180]]<|/det|>
3. 첫째항과 공비가 모두 양수 k인 등비수열  \( \{a_{n}\} \)  이

<|ref|>equation<|/ref|><|det|>[[178, 305, 415, 504]]<|/det|>
 \[ \frac{a_{4}}{a_{2}}+\frac{a_{2}}{a_{1}}=30 \] 

<|ref|>text<|/ref|><|det|>[[78, 620, 610, 720]]<|/det|>
을 만족시킬 때, k의 값은? [3점]

<|ref|>text<|/ref|><|det|>[[75, 830, 960, 930]]<|/det|>
① 1 ② 2 ③ 3 ④ 4 ⑤ 5"
"2025_odd_common_4","<|ref|>sub_title<|/ref|><|det|>[[40, 39, 171, 118]]<|/det|>
4. 함수 

<|ref|>equation<|/ref|><|det|>[[159, 241, 591, 515]]<|/det|>
\[f(x) = \begin{cases} 5x + a & (x < -2) \\ x^2 - a & (x \geq -2) \end{cases}\]

<|ref|>text<|/ref|><|det|>[[77, 630, 955, 715]]<|/det|>
가 실수 전체의 집합에서 연속일 때, 상수 a 의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[73, 820, 911, 901]]<|/det|>
① 6 ② 7 ③ 8 ④ 9 ⑤ 10","<|ref|>sub_title<|/ref|><|det|>[[35, 40, 167, 120]]<|/det|>
## 4. 합수

<|ref|>equation<|/ref|><|det|>[[160, 245, 592, 520]]<|/det|>
 \[ f(x)=\left\{\begin{aligned}&5x+a&(x<-2)\\ &x^{2}-a&(x\geq-2)\end{aligned}\right. \] 

<|ref|>text<|/ref|><|det|>[[70, 630, 952, 720]]<|/det|>
가 실수 전체의 집합에서 연속일 때, 상수 a의 값은? [3점]

<|ref|>text<|/ref|><|det|>[[70, 816, 900, 908]]<|/det|>
① 6 ② 7 ③ 8 ④ 9 ⑤ 10"
"2025_odd_common_5","<|ref|>text<|/ref|><|det|>[[52, 40, 950, 160]]<|/det|>
5. 함수 \(f(x) = (x^2 + 1)(3x^2 - x)\)에 대하여 \(f'(1)\)의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[85, 625, 160, 730]]<|/det|>
① 8 
② 10 

<|ref|>text<|/ref|><|det|>[[380, 625, 456, 730]]<|/det|>
③ 12 
④ 14 

<|ref|>text<|/ref|><|det|>[[615, 625, 701, 730]]<|/det|>
⑤ 16","<|ref|>text<|/ref|><|det|>[[49, 58, 949, 997]]<|/det|>
5. 함수  \( f(x)=(x^{2}+1)(3x^{2}-x) \)  에 대하여  \( f'(1) \)  의 값은? [3점]
① 8 ② 10 ③ 12 ④ 14 ⑤ 16"
"2025_odd_common_6","<|ref|>text<|/ref|><|det|>[[52, 0, 905, 440]]<|/det|>
6. \(\cos\left(\frac{\pi}{2} + \theta\right) = -\frac{1}{5}\) 일 때, \(\frac{\sin\theta}{1-\cos^2\theta}\) 의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[88, 611, 202, 737]]<|/det|>
① -5 ② \(-\sqrt{5}\) ③ 0 

<|ref|>text<|/ref|><|det|>[[480, 611, 559, 737]]<|/det|>
④ \(\sqrt{5}\) ⑤ 5","<|ref|>text<|/ref|><|det|>[[45, 0, 900, 978]]<|/det|>
6.  \( \cos\left(\frac{\pi}{2}+\theta\right)=-\frac{1}{5} \)  且  \( \frac{\sin\theta}{1-\cos^{2}\theta} \)  的  \( \frac{3}{2} \)  数？[3 组]

① -5 ②  \( -\sqrt{5} \)  ③ 0 ④  \( \sqrt{5} \)  ⑤ 5"
"2025_odd_common_7","<|ref|>sub_title<|/ref|><|det|>[[42, 78, 728, 170]]<|/det|>
7. 다항함수 \(f(x)\)가 모든 실수 \(x\)에 대하여 

<|ref|>equation<|/ref|><|det|>[[170, 300, 508, 499]]<|/det|>
\[ \int_{0}^{x} f(t) dt = 3x^3 + 2x \]

<|ref|>text<|/ref|><|det|>[[81, 610, 644, 707]]<|/det|>
를 만족시킬 때, \(f(1)\)의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[77, 810, 163, 895]]<|/det|>
① 7 

<|ref|>text<|/ref|><|det|>[[272, 810, 352, 895]]<|/det|>
② 9 

<|ref|>text<|/ref|><|det|>[[465, 810, 558, 895]]<|/det|>
③ 11 

<|ref|>text<|/ref|><|det|>[[658, 810, 755, 895]]<|/det|>
④ 13 

<|ref|>text<|/ref|><|det|>[[850, 810, 947, 895]]<|/det|>
⑤ 15","<|ref|>text<|/ref|><|det|>[[35, 78, 725, 185]]<|/det|>
7. 다항함수  \( f(x) \) 가 모든 실수 x 에 대하여

<|ref|>equation<|/ref|><|det|>[[170, 305, 505, 500]]<|/det|>
 \[ \int_{0}^{x}f(t)dt=3x^{3}+2x \] 

<|ref|>text<|/ref|><|det|>[[75, 610, 641, 712]]<|/det|>
를 만족시킬 때,  \( f(1) \) 의 값은? [3점]

<|ref|>text<|/ref|><|det|>[[74, 812, 950, 917]]<|/det|>
① 7 ② 9 ③ 11 ④ 13 ⑤ 15"
"2025_odd_common_8","<|ref|>text<|/ref|><|det|>[[42, 80, 950, 650]]<|/det|>
10. 닫힌구간 \([0, 2\pi]\) 에서 정의된 함수 \(f(x) = a\cos bx + 3\)이
\(x = \frac{\pi}{3}\) 에서 최댓값 13을 갖도록 하는 두 자연수 \(a, b\)의
순서쌍 \((a, b)\)에 대하여 \(a+b\)의 최솟값은? [4점] 

<|ref|>text<|/ref|><|det|>[[72, 777, 920, 900]]<|/det|>
① 12 ② 14 ③ 16 ④ 18 ⑤ 20","<|ref|>text<|/ref|><|det|>[[35, 75, 952, 960]]<|/det|>
10. 닫힌구간 [0, 2π]에서 정의된 함수  \( f(x) = a \cos bx + 3 \)  이  \( x = \frac{\pi}{3} \)  에서 최댓값 13을 갖도록 하는 두 자연수 a, b의 순서쌍 (a, b) 에 대하여  \( a + b \) 의 최솟값은? [4점]

① 12 ② 14 ③ 16 ④ 18 ⑤ 20"
"2025_odd_common_9","<|ref|>text<|/ref|><|det|>[[52, 50, 950, 201]]<|/det|>
8. 두 실수 \(a = 2\log\frac{1}{\sqrt{10}} + \log_2 20\), \(b = \log 2\)에 대하여 

<|ref|>equation<|/ref|><|det|>[[90, 250, 400, 380]]<|/det|>
\[a \times b \text{의 값은? [3점]}\]

<|ref|>text<|/ref|><|det|>[[88, 710, 170, 808]]<|/det|>
① 1 

<|ref|>text<|/ref|><|det|>[[285, 710, 365, 808]]<|/det|>
② 2 

<|ref|>text<|/ref|><|det|>[[479, 710, 560, 808]]<|/det|>
③ 3 

<|ref|>text<|/ref|><|det|>[[674, 710, 755, 808]]<|/det|>
④ 4 

<|ref|>text<|/ref|><|det|>[[866, 710, 945, 808]]<|/det|>
⑤ 5","<|ref|>text<|/ref|><|det|>[[46, 50, 950, 360]]<|/det|>
8. 두 실수  \( a = 2\log\frac{1}{\sqrt{10}} + \log_{2}20 \) ,  \( b = \log 2 \) 에 대하여

 \( a \times b \) 의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[88, 777, 950, 950]]<|/det|>
① 1 ② 2 ③ 3 ④ 4 ⑤ 5"
"2025_odd_common_10","<|ref|>text<|/ref|><|det|>[[55, 34, 690, 140]]<|/det|>
9. 함수 \(f(x) = 3x^2 - 16x - 20\)에 대하여 

<|ref|>equation<|/ref|><|det|>[[188, 270, 592, 470]]<|/det|>
\[ \int_{-2}^{a} f(x) dx = \int_{-2}^{0} f(x) dx \]

<|ref|>text<|/ref|><|det|>[[93, 592, 546, 688]]<|/det|>
일 때, 양수 \(a\)의 값은? [4점] 

<|ref|>text<|/ref|><|det|>[[88, 799, 944, 899]]<|/det|>
① 16 ② 14 ③ 12 ④ 10 ⑤ 8","<|ref|>text<|/ref|><|det|>[[50, 30, 682, 149]]<|/det|>
9. 합수  \( f(x) = 3x^{2} - 16x - 20 \)  에 대하여 

<|ref|>equation<|/ref|><|det|>[[188, 267, 593, 476]]<|/det|>
\[ \int_{-2}^{a} f(x) dx = \int_{-2}^{0} f(x) dx \]

<|ref|>text<|/ref|><|det|>[[92, 594, 547, 707]]<|/det|>
일 때, 합수 a의 값은? [4점] 

<|ref|>text<|/ref|><|det|>[[90, 810, 191, 912]]<|/det|>
① 16 

<|ref|>text<|/ref|><|det|>[[285, 810, 387, 912]]<|/det|>
② 14 

<|ref|>text<|/ref|><|det|>[[480, 810, 579, 912]]<|/det|>
③ 12 

<|ref|>text<|/ref|><|det|>[[675, 810, 775, 912]]<|/det|>
④ 10 

<|ref|>text<|/ref|><|det|>[[870, 810, 952, 912]]<|/det|>
⑤ 8"
