"prob_id","GT","paddle","DeepSeek-OCR","DeepSeek-OCR2","GLM"
"2026_odd_common_1","1.  $9^{\frac{1}{4}} \times 3^{-\frac{1}{2}}$의 값은? [2점] ① 1  ② $\sqrt{3}$  ③ 3  ④ $3\sqrt{3}$ ⑤ 9","1.  $ 9^{\frac{1}{4}} \times 3^{-\frac{1}{2}} $ 의 값은? [2점]  ① 1 ②  $ \sqrt{3} $ ③ 3 ④  $ 3\sqrt{3} $ ⑤ 9","1. \(9^{\frac{1}{4}} \times 3^{-\frac{1}{2}}\) 의 값은? [2점]  ① 1 ② \(\sqrt{3}\) ③ 3 ④ \(3\sqrt{3}\) ⑤ 9","1.  \(9^{\frac{1}{4}} \times 3^{-\frac{1}{2}}\)  의 값은? [2점] ① 1 ②  \(\sqrt{3}\)  ③ 3 ④  \(3\sqrt{3}\)  ⑤ 9","1. $ 9^{\frac{1}{4}} \times 3^{-\frac{1}{2}} $의 값은? [2점] $\textcircled{1}$ 1 $ \textcircled{2} $ $ \sqrt{3} $ $ \textcircled{3} $ 3 $ \textcircled{4} $ $ 3\sqrt{3} $ $ \textcircled{5} $ 9<|user|>"
"2026_odd_common_2","2.  함수 $f(x)=3x^3+4x+1$에 대하여 $\lim\limits_{h \to 0} \drac{f(1+h)-f(1)}{h}$의 값은? [2점] ① 7  ② 9  ③ 11  ④ 13  ⑤ 15","2. 함수  $ f(x) = 3x^3 + 4x + 1 $ 에 대하여  $ \lim_{h \to 0} \frac{f(1+h) - f(1)}{h} $ 의 값은? [2점]  ① 7 ② 9 ③ 11 ④ 13 ⑤ 15","2. 함수 \(f(x) 3x^3 + 4x + 1\)에 대하여 \(\lim_{h \to 0} \frac{f(1+h) - f(1)}{h}\) 의  묵은? [2점]  ① 7  ② 9  ③ 11  ④ 13  ⑤ 15","2. 합수  \(f(x) 3x^{3} + 4x + 1\)  에 대하여  \(\lim_{h \to 0} \frac{f(1 + h) - f(1)}{h}\)  의 값은? [2점] ① 7 ② 9 ③ 11 ④ 13 ⑤ 15","2. 함수 $ f ( x )=3 x^{3}+4 x+1 $에 대하여 $\lim_{h\to 0}\frac{f(1+h)-f(1)}{h}$의欲은? [2점] $\textcircled{1}$ 7 $\textcircled{2}$ 9 $\textcircled{3}$ 11 $\textcircled{4}$ 13 $\textcircled{5}$ 15<|user|>"
"2026_odd_common_3","3.  수열 $\{a_n\}$에 대하여 $\sum\limits_{k=1}^{4} (2a_k - k) = 0$ 일 때, $\sum\limits_{k=1}^{4} a_k$의 값은? [3점] ① 1  ② 2  ③ 3  ④ 4  ⑤ 5","3. 수열  $ \{a_n\} $ 에 대하여  $ \sum_{k=1}^{4}(2a_k - k) = 0 $ 일 때,  $ \sum_{k=1}^{4}a_k $ 의 값은? [3점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","3. 수열 {aₙ}에 따라서 \(\sum_{k 1}^{4}(2a_k - k) 0\)일 때, \(\sum_{k 1}^{4}a_k\)의 값은?  [3점]  ① 1  ② 2  ③ 3  ④ 4  ⑤ 5","3. 수열  \(\{a_{n}\}\)  에 대하여  \(\sum_{k 1}^{4}(2a_{k}-k) 0\)  일 때,  \(\sum_{k 1}^{4}a_{k}\)  의 값은? [3점] ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","3. 수열 $ \{a_{n}\} $에 대하여 $ \sum_{k=1}^{4}\left(2a_{k}-k\right)=0 $일 때, $ \sum_{k=1}^{4}a_{k} $의 값은? [3점] $\textcircled{1}$ 1 $ \textcircled{2} $ 2 $ \textcircled{3} $ 3 $ \textcircled{4} $ 4 $ \textcircled{5} $ 5<|user|>"
"2026_odd_common_4","4. 함수 $$f(x)=\begin{cases} 3x-2 & (x<1) \\ x^2-3x+a & (x \ge 1)\end{cases}$$이  실수  전체의  집합에서  연속일  때, 상수 $a$의  값은? [3점] ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","### 4. 함수   $$ f(x)=\left\{\begin{array}{ll}3x-2&(x<1)\\&\\x^{2}-3x+a&(x\geq1)\end{array}\right. $$   이 실수 전체의 집합에서 연속일 때, 상수 a의 값은? [3점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","4. 함수  \[ f(x) \begin{cases} 3x - 2 & (x < 1) \\ x^2 - 3x + a & (x \geq 1) \end{cases} \] 이 실수 전체의 집합에서 연속일 때, 상수 \(a\)의 값은? [3점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","## 4. 합수  \[ f(x) \begin{cases} 3x - 2 & (x < 1) \\ x^2 - 3x + a & (x \ge 1) \end{cases} \] 이 실수 전체의 집합에서 연속일 때, 상수 a의 값은? [3점]  ① 1  ② 2  ③ 3  ④ 4  ⑤ 5","4. 함수  $f(x)=\left\{\begin{array}{ll}3x-2&(x<1)\\x^{2}-3x+a&(x\ge 1)\end{array}\right.$  이 실수 전체의 집합에서 연속일 때, 상수 $a$의 값은? [3점]  $\textcircled{1}$ 1 $\textcircled{2}$ 2 $\textcircled{3}$ 3 $\textcircled{4}$ 4 $\textcircled{5}$<|user|>"
"2026_odd_common_5","5.  함수 $f(x)=(x+2)(2x^2-x-2)$에 대하여 $f'(1)$의 값은? [3점] ① 6  ② 7  ③ 8  ④ 9  ⑤ 10","5. 함수  $ f(x)=(x+2)(2x^{2}-x-2) $ 에 대하여  $ f'(1) $ 의 값은? [3점]  ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","5. 함수 \(f(x) (x+2)(2x^2 - x - 2)\) 에 대하여 \(f'(1)\) 의 값은? [3점]  ① 6  ② 7  ③ 8  ④ 9  ⑤ 10","5. 함수  \(f(x) (x+2)(2x^{2}-x-2)\)  에 대하여  \(f'(1)\)  의 값은? [3점] ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","5. 함수 $ f ( x )=\left( x+2 \right)\left( 2 x^{2}-x-2 \right) $에 대하여 $ f^{\prime} ( 1 ) $의 값은? [3점] $\textcircled{1}$ 6 $\textcircled{2}$ 7 $\textcircled{3}$ 8 $\textcircled{4}$ 9 $\textcircled{5}$ 10<|user|>"
"2026_odd_common_6","6.  1보다 큰 두 실수 $a, b$가 $$\log_a b = 3,\quad \log_3 \frac{b}{a} = \frac{1}{2}$$을 만족시킬 때, $\log_{9}ab$의 값은? [3점] ① $\dfrac{3}{8}$  ② $\dfrac{1}{2}$  ③ $\dfrac{5}{8}$  ④ $\dfrac{3}{4}$  ⑤ $\dfrac{7}{8}$","[run_paddle_ocr_single.py subprocess] timeout (300s)","6. 1보다 큰 두 실수 \(a, b\)가  \[ \log_a b 3, \quad \log_3 \frac{b}{a} \frac{1}{2} \] 을 만족시킬 때, \(\log_9 ab\)의 값은? [3점]  ① \(\frac{3}{8}\)  ② \(\frac{1}{2}\)  ③ \(\frac{5}{8}\)  ④ \(\frac{3}{4}\)  ⑤ \(\frac{7}{8}\)","6. 1보다 큰 두 실수 a, b가  \[ \log_a b 3, \quad \log_3 \frac{b}{a} \frac{1}{2} \] 을 만족시킬 때, \(\log_g ab\)의 값은? [3점]  ① \(\frac{3}{8}\) ② \(\frac{1}{2}\) ③ \(\frac{5}{8}\) ④ \(\frac{3}{4}\) ⑤ \(\frac{7}{8}\)","6. 1보다 큰 두 실수 $a, b$가 $\log_{a} b=3, \log_{3} \frac{b}{a}=\frac{1}{2}$ 을 만족시켜 메, $\log_{9} ab$의 값은? [3점] $\textcircled{1}$ $\frac{3}{8}$ $\textcircled{2}$ $\frac{1}{2}$ $\textcircled{3}$ $\frac{5}{8}$ $\textcircled{4}$ $\frac{3}{4}$ $\textcircled{5}$ $\frac{7}{8}$<|user|>"
"2026_odd_common_7","7.  두 곡선 $y=x^2+3$, $y=-\dfrac{1}{5}x^2+3$과 직선 $x=2$로 둘러싸인 부분의 넓이는? [3점] ① $\dfrac{18}{5}$  ② $\dfrac{7}{2}$  ③ $\dfrac{17}{5}$  ④ $\dfrac{33}{10}$  ⑤ $\dfrac{16}{5}$","7. 두 곡선  $ y = x^{2} + 3 $,  $ y = -\frac{1}{5}x^{2} + 3 $ 직선 x = 2 로  둘러싸인 부분의 넓이는? [3점]  ①  $ \frac{18}{5} $ ②  $ \frac{7}{2} $ ③  $ \frac{17}{5} $ ④  $ \frac{33}{10} $ ⑤  $ \frac{16}{5} $  <div style=""text-align: center;""><img src=""imgs/img_in_image_box_261_628_1483_1791.jpg"" alt=""Image"" width=""80%"" /></div>","7. 두 곡선 \(y x^2 + 3\), \(y -\frac{1}{5}x^2 + 3\)과 직선 \(x 2\)로 둘러싸인 부분의 넓이는? [3점]  ① \(\frac{18}{5}\) ② \(\frac{7}{2}\) ③ \(\frac{17}{5}\) ④ \(\frac{33}{10}\) ⑤ \(\frac{16}{5}\)","7. 두 곡선  \(y x^{2} + 3\) ,  \(y -\frac{1}{5}x^{2} + 3\)  과 직선 x  2로 둘러싸인 부분의 넓이는? [3점] ① \[ \frac{18}{5} \]  ② \[ \frac{7}{2} \]  ③ \[ \frac{17}{5} \]  ④ \[ \frac{33}{10} \]  ⑤ \[ \frac{16}{5} \]","[GLM-OCR error] CUDA out of memory. Tried to allocate 12.12 GiB. GPU 0 has a total capacity of 31.74 GiB of which 8.30 GiB is free. Process 1106375 has 370.00 MiB memory in use. Process 1106371 has 370.00 MiB memory in use. Process 1106373 has 370.00 MiB memory in use. Process 1248511 has 746.00 MiB memory in use. Process 1248514 has 2.04 GiB memory in use. Process 1248512 has 2.03 GiB memory in use. Process 1248513 has 2.04 GiB memory in use. Process 2272782 has 398.00 MiB memory in use. Process 2291397 has 15.13 GiB memory in use. Of the allocated memory 14.71 GiB is allocated by PyTorch, and 52.94 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
"2026_odd_common_8","8.  $\sin\theta + 3\cos\theta = 0$이고 $\cos(\pi-\theta) > 0$일 때, $\sin\theta$의 값은? [3점] ① $\dfrac{3\sqrt{10}}{10}$  ② $\dfrac{\sqrt{10}}{5}$  ③ 0  ④ $-\dfrac{\sqrt{10}}{5}$  ⑤ $-\dfrac{3\sqrt{10}}{10}$","8.  $ \sin\theta+3\cos\theta=0 $ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐  ①  $ \frac{3\sqrt{10}}{10} $ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐  ②  $ \frac{\sqrt{10}}{5} $ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐  ③ 0 ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐  ④  $ -\frac{\sqrt{10}}{5} $ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐","8. \(\sin\theta + 3\cos\theta 0\)이고 \(\cos(\pi-\theta) > 0\)일 때, \(\sin\theta\)의 값은? [3점]  ① \(\frac{3\sqrt{10}}{10}\)  ② \(\frac{\sqrt{10}}{5}\)  ③ 0  ④ \(-\frac{\sqrt{10}}{5}\)  ⑤ \(-\frac{3\sqrt{10}}{10}\)","8.  \(\sin\theta + 3\cos\theta 0\)  且  \(\cos(\pi - \theta) > 0\)  且  \(\sin\theta\)  的  \(\alpha\)  是？[3] ①  \(\frac{3\sqrt{10}}{10}\)  ②  \(\frac{\sqrt{10}}{5}\)  ③ 0 ④  \(-\frac{\sqrt{10}}{5}\)  ⑤  \(-\frac{3\sqrt{10}}{10}\)","8. $ \sin \theta+3\cos \theta=0 $이고 $ \cos(\pi-\theta)>0 $일 때, $ \sin \theta $의 값은? [3점] $ \textcircled{1} $ $ \frac{3\sqrt{10}}{10} $ $ \textcircled{2} $ $ \frac{\sqrt{10}}{5} $ $ \textcircled{3} $ 0 $ \textcircled{4} $ $ -\frac{\sqrt{10}}{5} $ $ \textcircled{5} $ $ -\frac{3\sqrt{10}}{10} $<|user|>"
"2026_odd_common_9","9.  양수 $a$에 대하여 함수 $f(x)$를 $$f(x)=x^3+3ax^2-9a^2 x+4$$ 라 하자. 직선 $y=5$가 곡선 $y=f(x)$에 접할 때, $f(2)$의 값은? [4점]     ① 11  ② 12  ③ 13  ④ 14  ⑤ 15","[run_paddle_ocr_single.py subprocess] timeout (300s)","9. 양수 \(a\)에 대하여 함수 \(f(x)\)를  \[ f(x) x^3 + 3ax^2 - 9a^2x + 4 \] 라 하자. 직선 \(y 5\)가 곡선 \(y f(x)\)에 접할 때, \(f(2)\)의 값은? [4점]  ① 11 ② 12 ③ 13 ④ 14 ⑤ 15","9. \(a\) \(f(x)\) \(a\) \(f(x)\) \(a\) \(f(x)\) \(a\) \(f(2)\) \(f(2)\) \(f(2)\) \(f(2)\) \(f(2)\) \[ f(x) x^{3}+3ax^{2}-9a^{2}x+4 \]  라 하자. 직선 y 5가 곡선 y f(x)에 접할 때, f(2)의 값은? [4점] ① 11 ② 12 ③ 13 ④ 14 ⑤ 15","9. 양수 $ a $에 대하여 함수 $ f ( x ) $를 $ f ( x ) = x^{3}+3 a x^{2}-9 a^{2} x+4 $ 라 하자. 직선 $ y=5 $가 과선 $ y=f ( x ) $에 점할 때, $ f ( 2 ) $의 값은? [4점] $\textcircled{1}$ 11 $\textcircled{2}$ 12 $\textcircled{3}$ 13 $\textcircled{4}$ 14 $\textcircled{5}$ 15<|user|>"
"2026_odd_common_10","10. 상수 $a(a>1)$에  대하여  곡선 $y = a^x - 2$ 위의  점  중  제1사분면에  있는  점 $\mathrm{A}$를  지나고 $y$축에  평행한  직선이 $x$축과  만나는  점을 $\mathrm{B}$, 곡선 $y = a^x - 2$의  점근선과  만나는  점을 $\mathrm{C}$라  하자. $\overline{\mathrm{AB}} = \overline{\mathrm{BC}}$이고  삼각형 $\mathrm{AOC}$의  넓이가 $8$일  때, $a \times \overline{\mathrm{OB}}$의  값은? (단, $\mathrm{O}$는  원점이다.)  [4점] ① $2^\frac{13}{6}$ ②$2^\frac{7}{3}$ ③$2^\frac{5}{2}$ ④$2^\frac{8}{3}$ ⑤$2^\frac{17}{5}$","[run_paddle_ocr_single.py subprocess] timeout (300s)","10. 상수 \(a(a>1)\)에 대하여 곡선 \(y a^x-2\) 위의 점 중 제1사분면에 있는 점 A를 지나고 \(y\) 축에 평행한 직선이 \(x\) 축과 만나는 점을 B, 곡선 \(y a^x-2\)의 점근선과 만나는 점을 C라 하자. \(\overline{AB} \overline{BC}\)이고 삼각형 AOC의 넓이가 8일 때, \(a \times \overline{OB}\)의 값은? (단, 0는 원점이다.) [4점]  ① \(2^{\frac{13}{6}}\) ② \(2^{\frac{7}{3}}\) ③ \(2^{\frac{5}{2}}\) ④ \(2^{\frac{8}{3}}\) ⑤ \(2^{\frac{17}{6}}\)","10. 상수  \(a(a>1)\) 에 대하여 곡선  \(y a^{x}-2\)  위의 점 중 제 1사분면에 있는 점 A를 지나고 y축에 평행한 직선이 x축과 만나는 점을 B, 곡선  \(y a^{x}-2\) 의 점근선과 만나는 점을 C라 하자.  \(\overline{AB} \overline{BC}\) 이고 삼각형 AOC의 넓이가 8일 때,  \(a\times\overline{OB}\) 의 값은? (단, O는 원점이다.) [4점] ①  \(2^{\frac{13}{6}}\)  ②  \(2^{\frac{7}{3}}\)  ③  \(2^{\frac{5}{2}}\)  ④  \(2^{\frac{8}{3}}\)  ⑤  \(2^{\frac{17}{6}}\)","10. 상수 $ a ( a > 1 ) $에 대하여 과선 $ y=a^{x}-2 $ 위의 점 중 제1사분면에 있는 점 A를 지나고 y축에 평행한 점선이 x축과 만나는 점을 B, 과선 $ y=a^{x}-2 $의 점근선과 만나는 점을 C라 하자. $ \overline{A B}=\overline{B C} $이고 삼각형 AOC의 넘이가 8일 때, $ a \times \overline{O B} $의 값은? (단, O는 원점이다.) [4점]  $\textcircled{1}$ $ 2^{\frac{13}{6}} $ $\textcircled{2}$ $ 2^{\frac{7}{3}} $ $\textcircled{3}$ $ 2^{\frac{5}{2}} $ $\textcircled{4}$ $ 2^{\frac{8}{3}} $ $\textcircled{5}$ $ 2^{\frac{17}{6}} $<|user|>"
