"prob_id","GT","paddle","DeepSeek-OCR","DeepSeek-OCR2","GLM"
"2023_odd_common_1","1. $\left( \dfrac{4}{2^{\sqrt{2}}} \right)^{2+\sqrt{2}}$ 의 값은? [2점] ① $\dfrac{1}{4}$ ② $\dfrac{1}{2}$ ③ 1 ④ 2 ⑤ 4","1.  $ \left(\frac{4}{2^{\sqrt{2}}}\right)^{2+\sqrt{2}} $ 臥？[2]  ①  $ \frac{1}{4} $ ②  $ \frac{1}{2} $ ③ 1 ④ 2 ⑤ 4","[DeepSeek-OCR error] CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 31.74 GiB of which 17.38 MiB is free. Process 1106375 has 370.00 MiB memory in use. Process 1106371 has 370.00 MiB memory in use. Process 1106373 has 370.00 MiB memory in use. Process 1248511 has 746.00 MiB memory in use. Process 1248514 has 2.04 GiB memory in use. Process 1248512 has 2.03 GiB memory in use. Process 1248513 has 2.04 GiB memory in use. Process 2221769 has 398.00 MiB memory in use. Process 2224162 has 398.00 MiB memory in use. Process 2227373 has 11.92 GiB memory in use. Process 2229104 has 11.10 GiB memory in use. Of the allocated memory 9.58 GiB is allocated by PyTorch, and 1.22 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)","[DeepSeek-OCR-2 error] CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 31.74 GiB of which 17.38 MiB is free. Process 1106375 has 370.00 MiB memory in use. Process 1106371 has 370.00 MiB memory in use. Process 1106373 has 370.00 MiB memory in use. Process 1248511 has 746.00 MiB memory in use. Process 1248514 has 2.04 GiB memory in use. Process 1248512 has 2.03 GiB memory in use. Process 1248513 has 2.04 GiB memory in use. Process 2221769 has 398.00 MiB memory in use. Process 2224162 has 398.00 MiB memory in use. Process 2227373 has 11.92 GiB memory in use. Process 2229104 has 11.10 GiB memory in use. Of the allocated memory 9.58 GiB is allocated by PyTorch, and 1.22 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)","1. $ \left( \frac{4}{2^{\sqrt{2}}} \right)^{2+\sqrt{2}} $의 값은? [2점] $\textcircled{1}$ $ \frac{1}{4} $ $\textcircled{2}$ $ \frac{1}{2} $ $\textcircled{3}$ 1 $\textcircled{4}$ 2 $\textcircled{5}$ 4<|user|>"
"2023_odd_common_2","2. $\lim\limits_{x \to \infty} \dfrac{\sqrt{x^2-2}+3x}{x+5}$ 의 값은? [2점] ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","1.  $ \left(\frac{4}{2^{\sqrt{2}}}\right)^{2+\sqrt{2}} $ 臥？[2]  ①  $ \frac{1}{4} $ ②  $ \frac{1}{2} $ ③ 1 ④ 2 ⑤ 4","[DeepSeek-OCR error] CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 31.74 GiB of which 15.38 MiB is free. Process 1106375 has 370.00 MiB memory in use. Process 1106371 has 370.00 MiB memory in use. Process 1106373 has 370.00 MiB memory in use. Process 1248511 has 746.00 MiB memory in use. Process 1248514 has 2.04 GiB memory in use. Process 1248512 has 2.03 GiB memory in use. Process 1248513 has 2.04 GiB memory in use. Process 2221769 has 398.00 MiB memory in use. Process 2227373 has 11.92 GiB memory in use. Process 2229104 has 11.49 GiB memory in use. Of the allocated memory 9.92 GiB is allocated by PyTorch, and 1.27 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)","[DeepSeek-OCR-2 error] CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 31.74 GiB of which 15.38 MiB is free. Process 1106375 has 370.00 MiB memory in use. Process 1106371 has 370.00 MiB memory in use. Process 1106373 has 370.00 MiB memory in use. Process 1248511 has 746.00 MiB memory in use. Process 1248514 has 2.04 GiB memory in use. Process 1248512 has 2.03 GiB memory in use. Process 1248513 has 2.04 GiB memory in use. Process 2221769 has 398.00 MiB memory in use. Process 2227373 has 11.92 GiB memory in use. Process 2229104 has 11.49 GiB memory in use. Of the allocated memory 9.92 GiB is allocated by PyTorch, and 1.27 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)","1. $ \left( \frac{4}{2^{\sqrt{2}}} \right)^{2+\sqrt{2}} $의 값은? [2점] $\textcircled{1}$ $ \frac{1}{4} $ $\textcircled{2}$ $ \frac{1}{2} $ $\textcircled{3}$ 1 $\textcircled{4}$ 2 $\textcircled{5}$ 4<|user|>"
"2023_odd_common_3","3. 공비가 양수인 등비수열 $\{a_n\}$이 $$a_2 + a_4 = 30, a_4 + a_6 = \dfrac{15}{2}$$를 만족시킬 때, $a_1$의 값은? [3점] ① 48 ② 56 ③ 64 ④ 72 ⑤ 80","3. 공비가 양수인 등비수열  $ \{a_n\} $ 이   $ a_2 + a_4 = 30,\quad a_4 + a_6 = \frac{15}{2} $  를 만족시킬 때,  $ a_1 $ 의 값은? [3점]  ① 48 ② 56 ③ 64 ④ 72 ⑤ 80","[DeepSeek-OCR error] CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 31.74 GiB of which 15.38 MiB is free. Process 1106375 has 370.00 MiB memory in use. Process 1106371 has 370.00 MiB memory in use. Process 1106373 has 370.00 MiB memory in use. Process 1248511 has 746.00 MiB memory in use. Process 1248514 has 2.04 GiB memory in use. Process 1248512 has 2.03 GiB memory in use. Process 1248513 has 2.04 GiB memory in use. Process 2221769 has 398.00 MiB memory in use. Process 2227373 has 11.92 GiB memory in use. Process 2229104 has 11.49 GiB memory in use. Of the allocated memory 9.92 GiB is allocated by PyTorch, and 1.27 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)","[DeepSeek-OCR-2 error] CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 31.74 GiB of which 15.38 MiB is free. Process 1106375 has 370.00 MiB memory in use. Process 1106371 has 370.00 MiB memory in use. Process 1106373 has 370.00 MiB memory in use. Process 1248511 has 746.00 MiB memory in use. Process 1248514 has 2.04 GiB memory in use. Process 1248512 has 2.03 GiB memory in use. Process 1248513 has 2.04 GiB memory in use. Process 2221769 has 398.00 MiB memory in use. Process 2227373 has 11.92 GiB memory in use. Process 2229104 has 11.49 GiB memory in use. Of the allocated memory 9.92 GiB is allocated by PyTorch, and 1.27 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)","3. 공비가 약수인 등비수열 $ \{a_{n}\} $이 $ a_{2}+a_{4}=30 $ $ a_{4}+a_{6}=\frac{15}{2} $ 를 만족시켜 메, $ a_{1} $의 값은? [3점] $\textcircled{1}$ 48 $\textcircled{2}$ 56 $\textcircled{3}$ 64 $\textcircled{4}$ 72 $\textcircled{5}$ 80<|user|>"
"2023_odd_common_4","4. 다항함수 $f(x)$에 대하여 함수 $g(x)$를 $$g(x) = x^2 f(x)$$라 하자. $f(2) = 1$, $f'(2) = 3$일 때, $g'(2)$의 값은? [3점] ① 12 ② 14 ③ 16 ④ 18 ⑤ 20","4. 다항함수  $ f(x) $ 에 대하여 함수  $ g(x) $ 를   $ g(x)=x^{2}f(x) $  라 하자.  $ f(2)=1 $,  $ f'(2)=3 $ 일 때,  $ g'(2) $ 의 값은? [3점]  ① 12 ② 14 ③ 16 ④ 18 ⑤ 20","[DeepSeek-OCR error] CUDA out of memory. Tried to allocate 16.00 MiB. GPU 0 has a total capacity of 31.74 GiB of which 3.38 MiB is free. Process 1106375 has 370.00 MiB memory in use. Process 1106371 has 370.00 MiB memory in use. Process 1106373 has 370.00 MiB memory in use. Process 1248511 has 746.00 MiB memory in use. Process 1248514 has 2.04 GiB memory in use. Process 1248512 has 2.03 GiB memory in use. Process 1248513 has 2.04 GiB memory in use. Process 2221769 has 10.74 GiB memory in use. Process 2229104 has 13.07 GiB memory in use. Of the allocated memory 11.47 GiB is allocated by PyTorch, and 1.30 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)","NO PATCHES 4. 다항함수  \(f(x)\)  에 대하여 함수  \(g(x)\) 를  \[ g(x) x^2 f(x) \] 라 하자.  \(f(2) 1\) ,  \(f'(2) 3\)  일 때,  \(g'(2)\) 의 값은? [3점]  ① 12  ② 14  ③ 16  ④ 18  ⑤ 20","4. 다항합수 $ f(x) $에 대하여 함수 $ g(x) $를 $ g(x)=x^{2}f(x) $ 라 하자. $ f(2)=1 $ , $ f^{\prime}(2)=3 $일 때, $ g^{\prime}(2) $의 값은? [3점] $\textcircled{1}$ 12 $\textcircled{2}$ 14 $\textcircled{3}$ 16 $\textcircled{4}$ 18 $\textcircled{5}$ 20<|user|>"
"2023_odd_common_5","5. $\tan\theta < 0$이고 $\cos\left(\dfrac{\pi}{2} + \theta\right) = \dfrac{\sqrt{5}}{5}$일 때, $\cos\theta$의 값은? [3점] ① $-\dfrac{2\sqrt{5}}{5}$ ② $-\dfrac{\sqrt{5}}{5}$ ③ 0 ④ $\dfrac{\sqrt{5}}{5}$ ⑤ $\dfrac{2\sqrt{5}}{5}$","5.  $ \tan\theta<0 $ 卫  $ \cos\left(\frac{\pi}{2}+\theta\right)=\frac{\sqrt{5}}{5} $ 叫， $ \cos\theta $ 欲？[3]  ①  $ -\frac{2\sqrt{5}}{5} $ ②  $ -\frac{\sqrt{5}}{5} $ ③ 0  ④  $ \frac{\sqrt{5}}{5} $ ⑤  $ \frac{2\sqrt{5}}{5} $","5. \(\tan \theta < 0\) 且 \(\cos\left(\frac{\pi}{2} + \theta\right) \frac{\sqrt{5}}{5}\) 是 \(\tan \theta\) 的 \(\cos \theta\) 的 \(\sin \theta\) 的 \(\cos \theta\) 的 \(\sin \theta\) 的  \(\sin \theta\) 的 \(\sin \theta\) 的 \(\sin \theta\) 的 \(\sin \theta\)  ① \(-\frac{2\sqrt{5}}{5}\)  ④ \(\frac{\sqrt{5}}{5}\)  ② \(-\frac{\sqrt{5}}{5}\)  ⑤ \(\frac{2\sqrt{5}}{5}\)","NO PATCHES 5.  \(\tan\theta<0\)  且  \(\cos\left(\frac{\pi}{2}+\theta\right) \frac{\sqrt{5}}{5}\)  且  \(\frac{1}{2}\leq\theta\leq\frac{\pi}{2}\) ， \(\cos\theta\)  的取值范围？[3分] ①  \(-\frac{2\sqrt{5}}{5}\)  ②  \(-\frac{\sqrt{5}}{5}\)  ③ 0 ④  \(\frac{\sqrt{5}}{5}\)  ⑤  \(\frac{2\sqrt{5}}{5}\)","5. $ \tan \theta<0 $이고 $ \cos \left( \frac{\pi}{2}+\theta\right)=\frac{\sqrt{5}}{5} $일 때, $ \cos \theta $의 값은? [3점] $ \textcircled{1} $ $ -\frac{2\sqrt{5}}{5} $ $ \textcircled{2} $ $ -\frac{\sqrt{5}}{5} $ $ \textcircled{3} $ 0 $ \textcircled{4} $ $ \frac{\sqrt{5}}{5} $ $ \textcircled{5} $ $ \frac{2\sqrt{5}}{5} $<|user|>"
"2023_odd_common_6","6. 함수 $f(x) = 2x^3 - 9x^2 + ax + 5$는 $x = 1$에서 극대이고, $x = b$에서 극소이다. $a + b$의 값은? (단, $a$, $b$는 상수이다.) [3점] ① 12 ② 14 ③ 16 ④ 18 ⑤ 20","6. 함수  $ f(x)=2x^3-9x^2+ax+5 $ 는  $ x=1 $ 에서 극대이고,   $ x=b $ 에서 극소이다.  $ a+b $ 의 값은? (단,  $ a $,  $ b $ 는 상수이다.) [3점]  ① 12 ② 14 ③ 16 ④ 18 ⑤ 20","6. 함수 \(f(x) 2x^3 - 9x^2 + ax + 5\) 는 \(x 1\) 에서 극대이고,  \(x b\)에서 극소이다. \(a+b\)의 값은? (단, \(a\), \(b\)는 상수이다.) [3점]  ① 12  ② 14  ③ 16  ④ 18  ⑤ 20","NO PATCHES 6. 함수  \(f(x) 2x^{3}-9x^{2}+ax+5\)  는 x 1 에서 극대이고, x b 에서 극소이다.  \(a+b\)  의 값은? (단, a, b 는 상수이다.) [3점] ① 12 ② 14 ③ 16 ④ 18 ⑤ 20","6. 함수 $ f(x)=2x^{3}-9x^{2}+ax+5 $는 $ x=1 $에서 귀대이고, $ x=b $에서 귀소이다. $ a+b $의 값은? (단, a, b는 상수이다.) [3점] $\textcircled{1}$ 12 $\textcircled{2}$ 14 $\textcircled{3}$ 16 $\textcircled{4}$ 18 $\textcircled{5}$ 20<|user|>"
"2023_odd_common_7","7. 모든 항이 양수이고 첫째항과 공차가 같은 등차수열 $\{a_n\}$이 $$\sum\limits_{k=1}^{15} \dfrac{1}{\sqrt{a_k} + \sqrt{a_{k+1}}} = 2$$를 만족시킬 때, $a_4$의 값은? [3점] ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","7. 모든 항이 양수이고 첫째항과 공차가 같은 등차수열 {aₙ}이   $ \sum_{k=1}^{15}\frac{1}{\sqrt{a_k}+\sqrt{a_{k+1}}}=2 $  를 만족시킬 때,  $ a_{4} $ 의 값은? [3점]  ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","7. 모든 항이 양수이고 첫째항과 공차가 같은 등차수열 \(\{a_n\}\)이  \[ \sum_{k 1}^{15} \frac{1}{\sqrt{a_k} + \sqrt{a_{k+1}}} 2 \] 를 만족시킬 때, \(a_4\) 의 값은? [3점]  ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","NO PATCHES 7. 모든 항이 양수이고 첫째항과 공차가 같은 등차수열  \(\{a_{n}\}\)  이  \[ \sum_{k 1}^{15} \frac{1}{\sqrt{a_k} + \sqrt{a_{k+1}}} 2 \] 를 만족시킬 때, \(a_4\) 의 값은? [3점]  ① 6  ② 7  ③ 8  ④ 9  ⑤ 10","7. 모든 함이 악수이고 첫재함과 공차가 같은 등차수열 { $a_{n}$ }이  $\sum_{k=1}^{15} \frac{1}{\sqrt{a_{k}} + \sqrt{a_{k+1}}} = 2$  를 만족시켜 때, $a_{4}$의 값은? [3점]  $\textcircled{1}$ 6 $\textcircled{2}$ 7 $\textcircled{3}$ 8 $\textcircled{4}$ 9 $\textcircled{5}$ 10<|user|>"
"2023_odd_common_8","8. 점 $(0, 4)$에서 곡선 $y = x^3 - x + 2$에 그은 접선의 $x$절편은? [3점] ① $-\dfrac{1}{2}$ ② $-1$ ③ $-\dfrac{3}{2}$ ④ $-2$ ⑤ $-\dfrac{5}{2}$","8. 점 (0, 4) 에서 곡선  $ y = x^{3} - x + 2 $ 에서 그온 접선의 x 절편은? [3점]  ①  $ -\frac{1}{2} $ ② -1 ③  $ -\frac{3}{2} $ ④ -2 ⑤  $ -\frac{5}{2} $","8. 점 (0, 4) 에서 곡선 \(y x^3 - x + 2\) 에 그은 접선의 \(x\) 절편은?  [3점]  ① \(-\frac{1}{2}\) ② \(-1\) ③ \(-\frac{3}{2}\) ④ \(-2\) ⑤ \(-\frac{5}{2}\)","NO PATCHES 8. 점  \((0, 4)\)  에서 곡선  \(y x^{3} - x + 2\) 에 그은 접선의 x절편은? [3점] ①  \(-\frac{1}{2}\)  ② -1 ③  \(-\frac{3}{2}\)  ④ -2 ⑤  \(-\frac{5}{2}\)","8. 점 (0, 4)에서 과선 $ y=x^{3}-x+2 $에 그은 점선의 $ x $점면은? [3점] $\textcircled{1}$ $ -\frac{1}{2} $ $\textcircled{2}$ $ -1 $ $\textcircled{3}$ $ -\frac{3}{2} $ $\textcircled{4}$ $ -2 $ $\textcircled{5}$ $ -\frac{5}{2} $<|user|>"
"2023_odd_common_9","9. 함수 $$f(x) = a - \sqrt{3} \tan 2x$$가 닫힌구간 $\left[ -\dfrac{\pi}{6}, b \right]$에서 최댓값 7, 최솟값 3을 가질 때, $a \times b$의 값은? (단, $a$, $b$는 상수이다.) [4점] ① $\dfrac{\pi}{2}$ ② $\dfrac{5\pi}{12}$ ③ $\dfrac{\pi}{3}$ ④ $\dfrac{\pi}{4}$ ⑤ $\dfrac{\pi}{6}$","### 9. 함수   $$ f(x)=a-\sqrt{3}\tan2x $$   가 닫힌구간  $ \left[-\frac{\pi}{6}, b\right] $에서 최댓값 7, 최숫값 3을 가질 때,   $ a \times b $의 값은? (닫, a, b는 상수이다.) [4점]  ①  $ \frac{\pi}{2} $ ②  $ \frac{5\pi}{12} $ ③  $ \frac{\pi}{3} $ ④  $ \frac{\pi}{4} $ ⑤  $ \frac{\pi}{6} $","9. 함수  \[ f(x) a - \sqrt{3} \tan 2x \] 가 단힌구간 \([- \frac{\pi}{6}, b]\) 에서 최댓값 7, 최솟값 3을 가질 때, \(a \times b\)의 값은? (단, \(a, b\)는 상수이다.) [4점]  ① \(\frac{\pi}{2}\) ② \(\frac{5\pi}{12}\) ③ \(\frac{\pi}{3}\) ④ \(\frac{\pi}{4}\) ⑤ \(\frac{\pi}{6}\)","NO PATCHES 9. 함수  \[ f(x) a - \sqrt{3} \tan 2x \] 가 닫힌구간 \(\left[-\frac{\pi}{6}, b\right]\)에서 최댓값 7, 최솟값 3을 가질 때, \(a \times b\)의 값은? (단, \(a, b\)는 상수이다.) [4점]  ① \(\frac{\pi}{2}\) ② \(\frac{5\pi}{12}\) ③ \(\frac{\pi}{3}\) ④ \(\frac{\pi}{4}\) ⑤ \(\frac{\pi}{6}\)","9. 함수 $f(x)=a-\sqrt{3}\tan 2x$ 가 단현구간 $ \left[-\frac{\pi}{6}, b\right] $에서 최대값 7, 최소값 3을 가질 때, $a\times b$의 값은? (단, a, b는 상수이다.) [4점] $\textcircled{1}$ $ \frac{\pi}{2} $ $\textcircled{2}$ $ \frac{5\pi}{12} $ $\textcircled{3}$ $ \frac{\pi}{3} $ $\textcircled{4}$ $ \frac{\pi}{4} $ $\textcircled{5}$ $ \frac{\pi}{6} $<|user|>"
"2023_odd_common_10","10. 두 곡선 $y = x^3 + x^2$, $y = -x^2 + k$와 $y$축으로 둘러싸인 부분의 넓이를 $A$, 두 곡선 $y = x^3 + x^2$, $y = -x^2 + k$와 직선 $x = 2$로 둘러싸인 부분의 넓이를 $B$라 하자. $A = B$일 때, 상수 $k$의 값은? (단, $4 < k < 5$) [4점] ① $\dfrac{25}{6}$ ② $\dfrac{13}{3}$ ③ $\dfrac{9}{2}$ ④ $\dfrac{14}{3}$ ⑤ $\dfrac{29}{6}$","10. 두 곡선  $ y = x^3 + x^2 $,  $ y = -x^2 + k $ 와  $ y $ 측으로 둘러싸인 부분의 넓이를  $ A $, 두 곡선  $ y = x^3 + x^2 $,  $ y = -x^2 + k $ 와 직선  $ x = 2 $ 로 둘러싸인 부분의 넓이를  $ B $ 라 하자.   $ A = B $ 일 때, 상수  $ k $의 없은? (단,  $ 4 < k < 5 $) [4점]  ①  $ \frac{25}{6} $ ②  $ \frac{13}{3} $ ③  $ \frac{9}{2} $ ④  $ \frac{14}{3} $ ⑤  $ \frac{29}{6} $  <div style=""text-align: center;""><img src=""imgs/img_in_image_box_155_330_580_864.jpg"" alt=""Image"" width=""61%"" /></div>","10. 두 곡선 \(y x^3+x^2\), \(y -x^2+k\)와 \(y\) 축으로 둘러싸인 부분의 넓이를 \(A\), 두 곡선 \(y x^3+x^2\), \(y -x^2-k\)와 직선 \(x 2\)로 둘러싸인 부분의 넓이를 \(B\)라 하자. \(A B\)일 때, 상수 \(k\)의 값은? (단, \(4<k<5\)) [4점]  ① \(\frac{25}{6}\) ② \(\frac{13}{3}\) ③ \(\frac{9}{2}\) ④ \(\frac{14}{3}\) ⑤ \(\frac{29}{6}\)","10. 두 곡선  \(y x^{3} + x^{2}\) ,  \(y -x^{2} + k\) 와  \(y\) 축으로 돌려서인 부분의 넓이를 A, 두 곡선  \(y x^{3} + x^{2}\) , y  -x^{2} + k와 직선 x  2로 돌려서인 부분의 넓이를 B라 하자. A  B일 때, 상수 k의 값은? (단, 4 < k < 5) [4점]  ①  \(\frac{25}{6}\)  ②  \(\frac{13}{3}\)  ③  \(\frac{9}{2}\)  ④  \(\frac{14}{3}\)  ⑤  \(\frac{29}{6}\)","10. 두 과선 $y=x^{3}+x^{2}$, $y=-x^{2}+k$와 $y$축으로 들려살인 부분의 넘이를 $A$, 두 과선 $y=x^{3}+x^{2}$, $y=-x^{2}+k$와 직선 $x=2$로 들려살인 부분의 넘이를 $B$라 하자. $A=B$일 때, 상수 $k$의 값은? (단, $4<k<5$) [4점]  $\textcircled{1}$ $\frac{25}{6}$ $\textcircled{2}$ $\frac{13}{3}$ $\textcircled{3}$ $\frac{9}{2}$ $\textcircled{4}$ $\frac{14}{3}$ $\textcircled{5}$ $\frac{29}{6}$  $y=x^{3}+x^{2}$ $y=-x^{2}+k$ $x=2$<|user|>"
