"prob_id","GT","paddle","DeepSeek-OCR","DeepSeek-OCR2","GLM"
"2025_odd_common_1","1. $\sqrt[3]{5} \times 25^{\frac{1}{3}}$의 값은? [2점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","1.  $ \sqrt[3]{5} \times 25^{\frac{1}{3}} $의 값은? [2점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","1. \(\sqrt[3]{5} \times 25^{\frac{1}{3}}\) 의 값은? [2점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","1.  \(\sqrt[3]{5} \times 25^{\frac{1}{3}}\)  의 값은? [2점] ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","1. $ \sqrt[3]{5}\times 25^{\frac{1}{3}} $의狱은? [2점] $ \textcircled{1} $ 1 $ \textcircled{2} $ 2 $ \textcircled{3} $ 3 $ \textcircled{4} $ 4 $ \textcircled{5} $ 5<|user|>"
"2025_odd_common_2","2. 함수 $f(x) = x^3 - 8x + 7$에 대하여 $\lim_{h \to 0} \frac{f(2+h) - f(2)}{h}$의 값은? [2점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","2. 함수  $ f(x) = x^3 - 8x + 7 $ 에서 대하여  $ \lim_{h \to 0} \frac{f(2 + h) - f(2)}{h} $ 읽  닮은? [2점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","2. 함수 \(f(x) x^3 - 8x + 7\)에 대하여 \(\lim_{h \to 0} \frac{f(2+h) - f(2)}{h}\)의  값은? [2점]  ① 1  ② 2  ③ 3  ④ 4  ⑤ 5","2. 함수  \(f(x) x^{3} - 8x + 7\)  에 대하여  \(\lim_{h \to 0} \frac{f(2 + h) - f(2)}{h}\)  의 값은? [2점] ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","2. 함수 $ f ( x )=x^{3}-8 x+7 $에 대하여 $ \lim_{h\to 0}\frac{f(2+h)-f(2)}{h} $의 값은? [2점] $\textcircled{1}$ 1 $\textcircled{2}$ 2 $\textcircled{3}$ 3 $\textcircled{4}$ 4 $\textcircled{5}$ 5<|user|>"
"2025_odd_common_3","3. 첫째항과 공비가 모두 양수 $k$인 등비수열 $\{a_n\}$이 $$\frac{a_4}{a_2} + \frac{a_2}{a_1} = 30$$을 만족시킬 때, $k$의 값은? [3점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","3. 첫째항과 공비가 모두 양수 k인 등비수열  $ \{a_n\} $ 이   $ \frac{a_4}{a_2} + \frac{a_2}{a_1} = 30 $  을 만족시킬 때, k의 값은? [3점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","3. 첫째항과 공비가 모두 양수 \(k\)인 등비수열 \(\{a_n\}\)이  \[ \frac{a_4}{a_2} + \frac{a_2}{a_1} 30 \] 을 만족시킬 때, \(k\)의 값은? [3점]  ① 1  ② 2  ③ 3  ④ 4  ⑤ 5","3. 첫째항과 공비가 모두 양수 k인 등비수열  \(\{a_{n}\}\)  이 \[ \frac{a_{4}}{a_{2}}+\frac{a_{2}}{a_{1}} 30 \]  을 만족시킬 때, k의 값은? [3점] ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","3. 첫재함과 공비가 모두 약수 $k$인 등비수열 $\{a_{n}\}$이  $\frac{a_{4}}{a_{2}} + \frac{a_{2}}{a_{1}} = 30$  을 만족시길 때, $k$의 값은? [3점]  $\textcircled{1}$ 1 $\textcircled{2}$ 2 $\textcircled{3}$ 3 $\textcircled{4}$ 4 $\textcircled{5}$ 5<|user|>"
"2025_odd_common_4","4. 함수 $$f(x) =  \begin{cases} 5x + a & (x < -2) \\ x^2 - a & (x \ge -2) \end{cases}$$가 실수 전체의 집합에서 연속일 때, 상수 $a$의 값은? [3점]  ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","### 4. 함수   $ f(x)=\left\{\begin{array}{ll}5x+a&(x<-2)\\x^{2}-a&(x\geq-2)\end{array}\right. $  가 실수 전체의 집합에서 연속일 때, 상수 a의 값은? [3점]  ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","4. 함수  \[ f(x) \begin{cases} 5x + a & (x < -2) \\ x^2 - a & (x \geq -2) \end{cases} \] 가 실수 전체의 집합에서 연속일 때, 상수 a 의 값은? [3점]  ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","## 4. 합수 \[ f(x) \left\{\begin{aligned}&5x+a&(x<-2)\\ &x^{2}-a&(x\geq-2)\end{aligned}\right. \]  가 실수 전체의 집합에서 연속일 때, 상수 a의 값은? [3점] ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","4. 함수  $f(x) = \left\{ \begin{array}{ll} 5x + a & (x < -2) \\ x^2 - a & (x \ge -2) \end{array} \right.$  가 실수 전체의 집합에서 연속일 때, 상수 $a$의 값은? [3점]  $\textcircled{1}$ 6 $\textcircled{2}$ 7 $\textcircled{3}$ 8 $\textcircled{4}$ 9 $\textcircled{5}$ 10<|user|>"
"2025_odd_common_5","5. 함수 $f(x) = (x^2 + 1)(3x^2 - x)$에 대하여  $f'(1)$의 값은? [3점]  ① 8 ② 10 ③ 12 ④ 14 ⑤ 16","5. 함수  $ f(x)=(x^{2}+1)(3x^{2}-x) $ 돼하여  $ f'(1) $ 의 값은? [3점]  ① 8 ② 10 ③ 12 ④ 14 ⑤ 16","5. 함수 \(f(x) (x^2 + 1)(3x^2 - x)\)에 대하여 \(f'(1)\)의 값은? [3점]  ① 8  ② 10  ③ 12  ④ 14  ⑤ 16","5. 함수  \(f(x) (x^{2}+1)(3x^{2}-x)\)  에 대하여  \(f'(1)\)  의 값은? [3점] ① 8 ② 10 ③ 12 ④ 14 ⑤ 16","5. 함수 $ f ( x )=\left( x^{2}+1\right)\left( 3 x^{2}-x \right) $에 대하여 $ f^{\prime}(1) $의 값은? [3점] $\textcircled{1}$ 8 $\textcircled{2}$ 10 $\textcircled{3}$ 12 $\textcircled{4}$ 14 $\textcircled{5}$ 16<|user|>"
"2025_odd_common_6","6. $\cos\left(\frac{\pi}{2} + \theta\right) = -\frac{1}{5}$일 때, $\frac{\sin\theta}{1 - \cos^2\theta}$의 값은? [3점]  ① -5 ② $-\sqrt{5}$ ③ 0 ④ $\sqrt{5}$ ⑤ 5","6.  $ \cos\left(\frac{\pi}{2}+\theta\right)=-\frac{1}{5} $ 咤， $ \frac{\sin\theta}{1-\cos^{2}\theta} $ 臥？[3점]  ① -5 ②  $ -\sqrt{5} $ ③ 0 ④  $ \sqrt{5} $ ⑤ 5","6. \(\cos\left(\frac{\pi}{2} + \theta\right) -\frac{1}{5}\) 일 때, \(\frac{\sin\theta}{1-\cos^2\theta}\) 의 값은? [3점]  ① -5 ② \(-\sqrt{5}\) ③ 0  ④ \(\sqrt{5}\) ⑤ 5","6.  \(\cos\left(\frac{\pi}{2}+\theta\right) -\frac{1}{5}\)  且  \(\frac{\sin\theta}{1-\cos^{2}\theta}\)  的  \(\frac{3}{2}\)  数？[3 组] ① -5 ②  \(-\sqrt{5}\)  ③ 0 ④  \(\sqrt{5}\)  ⑤ 5","6. $ \cos \left( \frac{\pi}{2}+\theta\right)=-\frac{1}{5} $ 일 때, $ \frac{\sin \theta}{1-\cos^{2}\theta} $의 값은? [3점] $ \textcircled{1} $ -5 $ \textcircled{2} $ $ -\sqrt{5} $ $ \textcircled{3} $ 0 $ \textcircled{4} $ $ \sqrt{5} $ $ \textcircled{5} $ 5<|user|>"
"2025_odd_common_7","7. 다항함수 $f(x)$가 모든 실수 $x$에 대하여 $$\int_{0}^{x} f(t)\,dt = 3x^3 + 2x$$를 만족시킬 때, $f(1)$의 값은? [3점]   ① 7 ② 9 ③ 11 ④ 13 ⑤ 15","7. 다항함수  $ f(x) $ 가 모든 실수  $ x $ 에 대하여   $ \int_{0}^{x} f(t) dt = 3x^{3} + 2x $  를 만족시킬 때,  $ f(1) $ 의 값은? [3점]  ① 7 ② 9 ③ 11 ④ 13 ⑤ 15","7. 다항함수 \(f(x)\)가 모든 실수 \(x\)에 대하여  \[ \int_{0}^{x} f(t) dt 3x^3 + 2x \] 를 만족시킬 때, \(f(1)\)의 값은? [3점]  ① 7  ② 9  ③ 11  ④ 13  ⑤ 15","7. 다항함수  \(f(x)\) 가 모든 실수 x 에 대하여 \[ \int_{0}^{x}f(t)dt 3x^{3}+2x \]  를 만족시킬 때,  \(f(1)\) 의 값은? [3점] ① 7 ② 9 ③ 11 ④ 13 ⑤ 15","7. 다항합수 $ f ( x ) $가 모든 실수 $ x $에 대하여  $$\int_{0}^{x} f ( t ) d t=3 x^{3}+2 x$$  를 만족시켜 때, $ f ( 1 ) $의 값은? [3점]  $\textcircled{1}$ 7 $\textcircled{2}$ 9 $\textcircled{3}$ 11 $\textcircled{4}$ 13 $\textcircled{5}$ 15<|user|>"
"2025_odd_common_8","8. 두 실수 $a = 2\log\frac{1}{\sqrt{10}} + \log_{2}20, \quad b = \log 2$에 대하여 $a \times b$의 값은? [3점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","10. 닫힌구간 [0, 2π] 에서 정의된 함수  $ f(x) = a\cos bx + 3\pi $   $ x = \frac{\pi}{3} $ 에서 최댓값 13을 갖도록 하는 두 자연수 a, b의  순서쌓 (a, b)에 대하여  $ a + b $의 최숙값은? [4점]  ① 12 ② 14 ③ 16 ④ 18 ⑤ 20","10. 닫힌구간 \([0, 2\pi]\) 에서 정의된 함수 \(f(x) a\cos bx + 3\)이 \(x \frac{\pi}{3}\) 에서 최댓값 13을 갖도록 하는 두 자연수 \(a, b\)의 순서쌍 \((a, b)\)에 대하여 \(a+b\)의 최솟값은? [4점]  ① 12 ② 14 ③ 16 ④ 18 ⑤ 20","10. 닫힌구간 [0, 2π]에서 정의된 함수  \(f(x) a \cos bx + 3\)  이  \(x \frac{\pi}{3}\)  에서 최댓값 13을 갖도록 하는 두 자연수 a, b의 순서쌍 (a, b) 에 대하여  \(a + b\) 의 최솟값은? [4점] ① 12 ② 14 ③ 16 ④ 18 ⑤ 20","10. 단현구간 $ [0, 2\pi] $에서 정의된 함수 $ f(x)=a\cos bx+3 $이 $ x=\frac{\pi}{3} $에서 최대값 13을 갖도록 하는 두 자연수 a, b의 순서상 (a, b)에 대하여 a+b의 최대값은? [4점] $\textcircled{1}$ 12 $\textcircled{2}$ 14 $\textcircled{3}$ 16 $\textcircled{4}$ 18 $\textcircled{5}$ 20<|user|>"
"2025_odd_common_9","9. 함수 $f(x) = 3x^2 - 16x - 20$에 대하여 $$\int_{-2}^{a} f(x)\,dx = \int_{-2}^{0} f(x)\,dx$$일 때, 양수 $a$의 값은? [4점]   ① 16 ② 14 ③ 12 ④ 10 ⑤ 8","8. 두 실수  $ a = 2\log\frac{1}{\sqrt{10}} + \log_220 $,  $ b = \log 2 $ 에 대하여  $ a \times b $의 값은? [3점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","8. 두 실수 \(a 2\log\frac{1}{\sqrt{10}} + \log_2 20\), \(b \log 2\)에 대하여  \[ a \times b \text{의 값은? [3점]} \] ① 1  ② 2  ③ 3  ④ 4  ⑤ 5","8. 두 실수  \(a 2\log\frac{1}{\sqrt{10}} + \log_{2}20\) ,  \(b \log 2\) 에 대하여  \(a \times b\) 의 값은? [3점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","8. 두 실수 $ a=2\log \frac{1}{\sqrt{10}}+\log_{2}20,b=\log 2 $에 대하여 $ a\times b $의狱은? [3점] $ \textcircled{1} $ 1 $ \textcircled{2} $ 2 $ \textcircled{3} $ 3 $ \textcircled{4} $ 4 $ \textcircled{5} $ 5<|user|>"
"2025_odd_common_10","10. 닫힌구간 $[0, 2\pi]$에서 정의된 함수 $f(x) = a \cos bx + 3$이 $x = \frac{\pi}{3}$에서 최댓값 13을 갖도록 하는 두 자연수 $a, b$의 순서쌍 $(a, b)$에 대하여 $a+b$의 최솟값은? [4점]   ① 12 ② 14 ③ 16 ④ 18 ⑤ 20","9. 함수  $ f(x) = 3x^2 - 16x - 20 $ 억 대하여   $ \int_{-2}^{a} f(x) dx = \int_{-2}^{0} f(x) dx $  일 때, 양수  $ a $ 의 값은? [4점]  ① 16 ② 14 ③ 12 ④ 10 ⑤ 8","9. 함수 \(f(x) 3x^2 - 16x - 20\)에 대하여  \[ \int_{-2}^{a} f(x) dx \int_{-2}^{0} f(x) dx \] 일 때, 양수 \(a\)의 값은? [4점]  ① 16 ② 14 ③ 12 ④ 10 ⑤ 8","9. 합수  \(f(x) 3x^{2} - 16x - 20\)  에 대하여  \[ \int_{-2}^{a} f(x) dx \int_{-2}^{0} f(x) dx \] 일 때, 합수 a의 값은? [4점]  ① 16  ② 14  ③ 12  ④ 10  ⑤ 8","9. 함수 $ f ( x )=3 x^{2}-1 6 x-2 0 $에 대하여 $\int_{-2}^{a} f ( x ) d x=\int_{-2}^{0} f ( x ) d x$ 일 때, 양수 $ a $의 값은? [4점] $\textcircled{1}$ 16 $\textcircled{2}$ 14 $\textcircled{3}$ 12 $\textcircled{4}$ 10 $\textcircled{5}$ 8<|user|>"
