"prob_id","GT","paddle","DeepSeek-OCR","DeepSeek-OCR2","GLM"
"2024_odd_common_1","1.$\sqrt[3]{24} \times 3^{\tfrac{2}{3}}$의 값은? [2점] ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","1.  $ \sqrt[3]{24} \times 3^{\frac{2}{3}} $ 읽 값은? [2점]  ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","1. \(\sqrt[3]{24} \times 3^{\frac{2}{3}}\) 의 묵은? [2점]  ① 6  ② 7  ③ 8  ④ 9  ⑤ 10","1.  \(\sqrt[3]{24} \times 3^{\frac{2}{3}}\)  의 값은? [2점] ① 6 ② 7 ③ 8 ④ 9 ⑤ 10","1. $ \sqrt[3]{2 4} \times 3^{\frac{2}{3}} $의 값은? [2점] $\textcircled{1}$ 6 $\textcircled{2}$ 7 $\textcircled{3}$ 8 $\textcircled{4}$ 9 $\textcircled{5}$ 10<|user|>"
"2024_odd_common_2","2. 함수 $f(x) = 2x^3 - 5x^2 + 3$에 대하여 $\lim\limits_{h \to 0} \dfrac{f(2 + h) - f(2)}{h}$의 값은? [2점] ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","2. 함수  $ f(x)=2x^{3}-5x^{2}+3 $ 헤하여  $ \lim_{h\to0}\frac{f(2+h)-f(2)}{h} $ 의 없은? [2점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","2. 함수 \(f(x) 2x^3 - 5x^2 + 3\)에 대하여 \(\lim_{h \to 0} \frac{f(2+h) - f(2)}{h}\) 식  값은? [2점]  ① 1  ② 2  ③ 3  ④ 4  ⑤ 5","2. 함수  \(f(x) 2x^{3} - 5x^{2} + 3\)  에 대하여  \(\lim_{h \to 0} \frac{f(2 + h) - f(2)}{h}\)  의 값은? [2점] ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","2. 함수 $ f ( x )=2 x^{3}-5 x^{2}+3 $에 대하여 $ \lim_{h\to 0}\frac{f(2+h)-f(2)}{h} $의 欲은? [2점] $\textcircled{1}$ 1 $ \textcircled{2} $ 2 $ \textcircled{3} $ 3 $ \textcircled{4} $ 4 $ \textcircled{5} $ 5<|user|>"
"2024_odd_common_3","3. $\dfrac{3}{2}\pi \lt \theta \lt 2\pi$인 $\theta$에 대하여 $\sin(-\theta) = \dfrac{1}{3}$일 때, $\tan \theta$의 값은? [3점] ① $-\dfrac{\sqrt{2}}{2}$ ② $-\dfrac{\sqrt{2}}{4}$ ③ $-\dfrac{1}{4}$ ④ $\dfrac{1}{4}$ ⑤ $\dfrac{\sqrt{2}}{4}$","3.  $ \frac{3}{2}\pi < \theta < 2\pi $ 인  $ \theta $ 에 대하여  $ \sin(-\theta) = \frac{1}{3} $ 일 때,   $ \tan\theta $ 의 값은? [3점]  ①  $ -\frac{\sqrt{2}}{2} $ ②  $ -\frac{\sqrt{2}}{4} $ ③  $ -\frac{1}{4} $ ④  $ \frac{1}{4} $ ⑤  $ \frac{\sqrt{2}}{4} $","3. \(\frac{3}{2}\pi < \theta < 2\pi\) 일 \(\theta\)에 대하여 \(\sin(-\theta) \frac{1}{3}\) 일 때,  \(\tan\theta\)의 값은? [3점]  ① \(-\frac{\sqrt{2}}{2}\) ② \(-\frac{\sqrt{2}}{4}\) ③ \(-\frac{1}{4}\) ④ \(\frac{1}{4}\) ⑤ \(\frac{\sqrt{2}}{4}\)","3.  \(\frac{3}{2}\pi < \theta < 2\pi\)  且  \(\theta\)  是  \(\sin(-\theta) \frac{1}{3}\)  的角，求  \(\tan\theta\)  的值？[3] ①  \(-\frac{\sqrt{2}}{2}\)  ②  \(-\frac{\sqrt{2}}{4}\)  ③  \(-\frac{1}{4}\)  ④  \(\frac{1}{4}\)  ⑤  \(\frac{\sqrt{2}}{4}\)","3. $ \frac{3}{2} \pi<\theta<2 \pi $인 $ \theta $에 대하여 $ \sin(-\theta)=\frac{1}{3} $일 때, $ \tan\theta $의 값은? [3점] $ \textcircled{1} $ $ -\frac{\sqrt{2}}{2} $ $ \textcircled{2} $ $ -\frac{\sqrt{2}}{4} $ $ \textcircled{3} $ $ -\frac{1}{4} $ $ \textcircled{4} $ $ \frac{1}{4} $ $ \textcircled{5} $ $ \frac{\sqrt{2}}{4} $<|user|>"
"2024_odd_common_4","4. 함수 $$f(x) = \begin{cases} 3x - a, & (x < 2) \\ x^2 + a, & (x \ge 2) \end{cases}$$가 실수 전체의 집합에서 연속일 때, 상수 $a$의 값은? [3점] ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","### 4. 함수   $ f(x)=\left\{\begin{array}{ll}3x-a&(x<2)\\x^{2}+a&(x\geq2)\end{array}\right. $  가 실수 전체의 집합에서 연속일 때, 상수 a의 값은? [3점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","4. 함수  \[ f(x) \begin{cases} 3x - a & (x < 2) \\ x^2 + a & (x \geq 2) \end{cases} \] 가 실수 전체의 집합에서 연속일 때, 상수 \(a\)의 값은? [3점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","## 4. 합수  \[ f(x) \begin{cases} 3x - a & (x < 2) \\ x^2 + a & (x \ge 2) \end{cases} \] 가 실수 전체의 집합에서 연속일 때, 상수 \(a\)의 값은? [3점]  ① 1  ② 2  ③ 3  ④ 4  ⑤ 5","4. 함수  $f(x) = \left\{ \begin{array}{ll} 3x - a & (x < 2) \\ x^2 + a & (x \ge 2) \end{array} \right.$  가 실수 전체의 집합에서 연속일 때, 상수 $a$의 값은? [3점]  $\textcircled{1}$ 1 $\textcircled{2}$ 2 $\textcircled{3}$ 3 $\textcircled{4}$ 4 $\textcircled{5}$ 5<|user|>"
"2024_odd_common_5","5. 다항함수 $f(x)$가 $$f'(x) = 3x (x-2), \quad f(1) = 6$$을 만족시킬 때, $f(2)$의 값은? [3점] ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","5. 다항함수  $ f(x) $ 가   $ f'(x) = 3x(x - 2), \quad f(1) = 6 $  을 만족시킬 때,  $ f(2) $의 값은? [3점]  ① 1 ② 2 ③ 3 ④ 4 ⑤ 5","5. 다항함수 \(f(x)\) 가  \[ f'(x) 3x(x-2), \quad f(1) 6 \] 을 만족시킬 때, \(f(2)\)의 값은? [3점]  ① 1  ② 2  ③ 3  ④ 4  ⑤ 5","5. 다항식 \(f(x)\)가  \[ f'(x) 3x(x-2), \quad f(1) 6 \] 을 만족시킬 때, \(f(2)\)의 값은? [3점]  ① 1  ② 2  ③ 3  ④ 4  ⑤ 5","5. 다항합수 $ f(x) $가 $ f^{\prime}(x)=3x(x-2), $ $ f(1)=6 $ 을 만족시껑 때, $ f(2) $의 값은? [3점] $\textcircled{1}$ 1 $\textcircled{2}$ 2 $\textcircled{3}$ 3 $\textcircled{4}$ 4 $\textcircled{5}$ 5<|user|>"
"2024_odd_common_6","6. 등비수열 $\{a_n\}$의 첫째항부터 제$n$항까지의 합을 $S_n$이라 하자. $$S_4 - S_2 = 3a_4, \quad a_5 = \dfrac{3}{4}$$일 때, $a_1 + a_2$의 값은? [3점] ① 27 ② 24 ③ 21 ④ 18 ⑤ 15","6. 등비수열  $ \{a_n\} $ 의 첫째항부터 제n항까지의 합을  $ S_n $ 이라 하자.   $ S_4 - S_2 = 3a_4,\quad a_5 = \frac{3}{4} $  일 때,  $ a_1 + a_2 $ 의 값은? [3점]  ① 27 ② 24 ③ 21 ④ 18 ⑤ 15","6. 등비수열 {\(a_n\)}의 첫째항부터 제\(n\)항까지의 합을 \(S_n\)이라 하자.  \[ S_4 - S_2 3a_4, \quad a_5 \frac{3}{4} \] 일 때, \(a_1 + a_2\)의 값은? [3점]  ① 27 ② 24 ③ 21 ④ 18 ⑤ 15","6. 등비수열  \(\{a_{n}\}\)  의 첫째항부터 제n 항까지의 합을  \(S_{n}\)  이라 하자.  \[ S_4 - S_2 3a_4, \quad a_5 \frac{3}{4} \] 일 때,  \(a_1 + a_2\) 의 값은? [3점]  ① 27  ② 24  ③ 21  ④ 18  ⑤ 15","6. 등비수열 $ \{a_{n}\} $의 첫재항부터 제 $ n $ 항까지의 함을 $ S_{n} $이라 하자. $ S_{4}-S_{2}=3a_{4}, $ $ a_{5}=\frac{3}{4} $ 일 때, $ a_{1}+a_{2} $의 값은? [3점] $\textcircled{1}$ 27 $\textcircled{2}$ 24 $\textcircled{3}$ 21 $\textcircled{4}$ 18 $\textcircled{5}$ 15<|user|>"
"2024_odd_common_7","7. 함수 $f(x)=\dfrac{1}{3}x^3-2x^2-12x+4$가 $x=\alpha$에서 극대이고 $x=\beta$에서 극소일 때, $\beta-\alpha$의 값은? (단, $\alpha$와 $\beta$는 상수이다.) [3점] ① -4 ② -1 ③ 2 ④ 5 ⑤ 8","7. 함수  $ f(x)=\frac{1}{3}x^{3}-2x^{2}-12x+4 $  $ x=\alpha $ 에서 극대이고   $ x=\beta $에서 극소일 때,  $ \beta-\alpha $의 값은? (단,  $ \alpha $와  $ \beta $는 상수이다.) [3점]  ① -4 ② -1 ③ 2 ④ 5 ⑤ 8","7. 함수 \(f(x) \frac{1}{3}x^3 - 2x^2 - 12x + 4\)가 \(x \alpha\)에서 극대이고  \(x \beta\)에서 극소일 때, \(\beta - \alpha\)의 값은? (단, \(\alpha\)와 \(\beta\)는 상수이다.)  [3점]  ① -4 ② -1 ③ 2 ④ 5 ⑤ 8","7. 함수  \(f(x) \frac{1}{3}x^{3}-2x^{2}-12x+4\)  가  \(x \alpha\)  에서 극대이고  \(x \beta\)  에서 극소일 때,  \(\beta-\alpha\)  의 값은? (단,  \(\alpha\)  와  \(\beta\)  는 상수이다.) [3점] ① -4 ② -1 ③ 2 ④ 5 ⑤ 8","7. 함수 $ f ( x )=\frac{1}{3} x^{3}-2 x^{2}-1 2 x+4 $가 $ x=\alpha $에서 극대이고 $ x=\beta $에서 극소일 때, $ \beta-\alpha $의 값은? (단, $ \alpha $와 $ \beta $는 상수이다.) [3점] $\textcircled{1}$-4 $\textcircled{2}$-1 $\textcircled{3}$2 $\textcircled{4}$5 $\textcircled{5}$8<|user|>"
"2024_odd_common_8","8. 삼차함수 $f(x)$가 모든 실수 $x$에 대하여 $$xf(x) - f(x) = 3x^4 - 3x$$를 만족시킬 때, $\int_{-2}^{2} f(x)\,dx$의 값은? [3점] ① 12 ② 16 ③ 20 ④ 24 ⑤ 28","10. 시각  $ t=0 $ 일 때 동시에 원점을 출발하여 수직선 위를 움직이는 두 점 P, Q의 시각  $ t(t\geq0) $에서의 속도가 각각  $ v_{1}(t)=t^{2}-6t+5 $,  $ v_{2}(t)=2t-7 $  이다. 시각  $ t $ 에서의 두 점 P, Q 사이의 거리를  $ f(t) $ 라 할 때 함수  $ f(t) $는 구간  $ [0, a] $ 에서 증가하고, 구간  $ [a, b] $ 에서 감소하고, 구간  $ [b, \infty) $ 에서 증가한다. 시각  $ t=a $ 에서  $ t=b $ 까지 점 Q가 움직인 거리는? (단,  $ 0 < a < b $) [4점]  ①  $ \frac{15}{2} $ ②  $ \frac{17}{2} $ ③  $ \frac{19}{2} $ ④  $ \frac{21}{2} $ ⑤  $ \frac{23}{2} $","10. 시각 \(t 0\)일 때 동시에 원점을 출발하여 수직선 위를 움직이는 두 점 P, Q의 시각 \(t(t \ge 0)\)에서의 속도가 각각  \[ v_1(t) t^2 - 6t + 5, \quad v_2(t) 2t - 7 \] 이다. 시각 \(t\)에서의 두 점 P, Q 사이의 거리를 \(f(t)\)라 할 때, 함수 \(f(t)\)는 구간 \([0, a]\)에서 증가하고, 구간 \([a, b]\)에서 감소하고, 구간 \([b, \infty)\)에서 증가한다. 시각 \(t a\)에서 \(t b\)까지 점 Q가 움직인 거리는? (단, \(0<a<b\)) [4점]  ① \(\frac{15}{2}\)  ② \(\frac{17}{2}\)  ③ \(\frac{19}{2}\)  ④ \(\frac{21}{2}\)  ⑤ \(\frac{23}{2}\)","10. 시각 t 0일 때 동시에 원점을 출발하여 수직선 위를 움직이는 두 점 P, Q의 시각 t(t≥0)에서의 속도가 각각 \[ v_{_{1}}(t) t^{2}-6t+5,\ v_{_{2}}(t) 2t-7 \]  이다. 시각 t에서의 두 점 P, Q 사이의 거리를  \(f(t)\)  라 할 때, 함수  \(f(t)\) 는 구간  \([0, a]\) 에서 증가하고, 구간  \([a, b]\) 에서 감소하고, 구간  \([b, \infty)\) 에서 증가한다. 시각 t  a에서  \(t b\) 까지 점 Q가 움직인 거리는? (단, 0 < a < b) [4점] ①  \(\frac{15}{2}\)  ②  \(\frac{17}{2}\)  ③  \(\frac{19}{2}\)  ④  \(\frac{21}{2}\)  ⑤  \(\frac{23}{2}\)","10. 시각 $t=0$ 일 때 동시에 원점을 출발하여 수집선 위를 움직이는 두 점 P, Q의 시각 $t(t\geq 0)$에서의 속도가 각각  $v_{1}(t)=t^{2}-6t+5, \quad v_{2}(t)=2t-7$  이다. 시각 $t$에서의 두 점 P, Q 사이의 거리를 $f(t)$라 할 때, 함수 $f(t)$는 구간 $[0,a]$에서 중가하고, 구간 $[a,b]$에서 감소하고, 구간 $[b,\infty)$에서 중가한다. 시각 $t=a$에서 $t=b$까지 점 Q가 움직인 거리는? (단, $0<a<b$) [4점]  $\textcircled{1}$ $\frac{15}{2}$ $\textcircled{2}$ $\frac{17}{2}$ $\textcircled{3}$ $\frac{19}{2}$ $\textcircled{4}$ $\frac{21}{2}$ $\textcircled{5}$ $\frac{23}{2}$<|user|>"
"2024_odd_common_9","9. 수직선 위의 두 점 $\mathrm{P}(\log_5{3}), \ \mathrm{Q}(\log_5{12})$에 대하여 선분 $\mathrm{PQ}$를 $m:(1-m)$으로 내분하는 점의 좌표가 1일 때, $4^m$의 값은? (단, $m$은 $0<m<1$인 상수이다.) [4점] ① $\dfrac{7}{6}$ ② $\dfrac{4}{3}$ ③ $\dfrac{3}{2}$ ④ $\dfrac{5}{3}$ ⑤ $\dfrac{11}{6}$","8. 삼차함수  $ f(x) $ 가 모든 실수  $ x $ 에 대하여   $ xf(x)-f(x)=3x^{4}-3x $  를 만족시킬 때,  $ \int_{-2}^{2}f(x)dx $ 의 값은? [3점]  ① 12 ② 16 ③ 20 ④ 24","8. 삼차함수 \(f(x)\)가 모든 실수 \(x\)에 대하여  \[ xf(x) - f(x) 3x^4 - 3x \] 를 만족시킬 때, \(\int_{-2}^{2} f(x)dx\)의 값은? [3점]  ① 12  ② 16  ③ 20  ④ 24  ⑤ 28","8. 삼차함수  \(f(x)\) 가 모든 실수 x 에 대하여  \[ xf(x) - f(x) 3x^4 - 3x \] 를 만족시킬 때, \(\int_{-2}^{2} f(x) dx\) 의 값은? [3점]  ① 12  ② 16  ③ 20  ④ 24  ⑤ 28","8. 살카함수 $ f(x) $가 모든 실수 $ x $에 대하여  $ x f(x)-f(x)=3 x^{4}-3 x $  를 만족시길 때, $ \int_{-2}^{2} f(x) d x $의 값은? [3점]  $\textcircled{1}$ 12 $\textcircled{2}$ 16 $\textcircled{3}$ 20 $\textcircled{4}$ 24 $\textcircled{5}$ 28<|user|>"
"2024_odd_common_10","10. 시각 $t=0$일 때 동시에 원점을 출발하여 수직선 위를 움직이는 두 점 $\mathrm{P,\ Q}$의 시각 $t(t\ge0)$에서의 속도가 각각 $$v_1(t)=t^2-6t+5, \quad v_2(t)=2t-7$$이다. 시각 $t$에서의 두 점 $\mathrm{P,\ Q}$ 사이의 거리를 $f(t)$라 할 때, 함수 $f(t)$는 구간 $[0, a]$에서 감소하고, 구간 $[b, \infty)$에서 증가한다. 시각 $t=a$에서 $t=b$까지 점 $\mathrm{Q}$가 움직인 거리는? (단, $0<a<b$) [4점]  ① $\dfrac{15}{2}$ ② $\dfrac{17}{2}$ ③ $\dfrac{19}{2}$ ④ $\dfrac{21}{2}$ ⑤ $\dfrac{23}{2}$","9. 수직선 위의 두 점 P(log₅3), Q(log₅12)에 대하여  선분 PQ를 m:(1-m)으로 내분하는 점의 좌표가 1일 때,  4ᵐ의 값은? (단, m은 0<m<1인 상수이다.) [4점]  ①  $ \frac{7}{6} $ ②  $ \frac{4}{3} $ ③  $ \frac{3}{2} $ ④  $ \frac{5}{3} $ ⑤  $ \frac{11}{6} $","9. 수직선 위의 두 점 P(log₅3), Q(log₅12)에 대하여 선분 PQ를 m:(1-m)으로 내분하는 점의 좌표가 1일 때, 4m 의 값은? (단, m은 0 < m < 1일 상수이다.) [4점]  ① \(\frac{7}{6}\) ② \(\frac{4}{3}\) ③ \(\frac{3}{2}\) ④ \(\frac{5}{3}\) ⑤ \(\frac{11}{6}\)","9. 수직선 위의 두 점 P( \(\log_{5}3\) ), Q( \(\log_{5}12\) )에 대하여 선분 PQ를 m: (1-m)으로 내분하는 점의 좌표가 1일 때, 4m의 값은? (단, m은 0 < m < 1인 상수이다.) [4점] ①  \(\frac{7}{6}\)  ②  \(\frac{4}{3}\)  ③  \(\frac{3}{2}\)  ④  \(\frac{5}{3}\)  ⑤  \(\frac{11}{6}\)","9. 수집선 위의 두 점 $ \mathrm{P}\left(\log_{5}3\right), \mathrm{Q}\left(\log_{5}12\right) $에 대하여 선분 PQ를 $ m:(1-m) $으로 내분하는 점의 차포가 1일 때, $ 4^{m} $의 값은? (단, $ m $은 $ 0<m<1 $인 상수이다.) [4점]  $\textcircled{1}$ $ \frac{7}{6} $ $\textcircled{2}$ $ \frac{4}{3} $ $\textcircled{3}$ $ \frac{3}{2} $ $\textcircled{4}$ $ \frac{5}{3} $ $\textcircled{5}$ $ \frac{11}{6} $<|user|>"
